=== OVS Snapshot: pre_tcp @ 2026-04-19T21:52:24,876893178-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=129.985s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=7,nw_src=10.0.0.122,nw_dst=10.0.1.120,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:76->eth_dst,output:17
 cookie=0x0, duration=129.985s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=17,nw_src=10.0.1.120,nw_dst=10.0.0.122,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:7a->eth_dst,output:7
 cookie=0x0, duration=129.985s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.101,nw_dst=10.0.1.99,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:61->eth_dst,output:16
 cookie=0x0, duration=129.985s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=16,nw_src=10.0.1.99,nw_dst=10.0.0.101,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:65->eth_dst,output:6
 cookie=0x0, duration=129.985s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=9,nw_src=10.0.0.186,nw_dst=10.0.1.184,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:b6->eth_dst,output:20
 cookie=0x0, duration=129.985s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=20,nw_src=10.0.1.184,nw_dst=10.0.0.186,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:ba->eth_dst,output:9
 cookie=0x0, duration=129.985s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=8,nw_src=10.0.0.150,nw_dst=10.0.1.148,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:92->eth_dst,output:18
 cookie=0x0, duration=129.985s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=18,nw_src=10.0.1.148,nw_dst=10.0.0.150,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:96->eth_dst,output:8
 cookie=0x0, duration=129.971s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=7,nw_src=10.0.0.124,nw_dst=10.0.1.122,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:78->eth_dst,output:17
 cookie=0x0, duration=129.971s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=17,nw_src=10.0.1.122,nw_dst=10.0.0.124,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:7c->eth_dst,output:7
 cookie=0x0, duration=129.971s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.109,nw_dst=10.0.1.107,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:69->eth_dst,output:17
