=== OVS Snapshot: mid_udp @ 2026-04-19T22:28:46,658485623-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=60.093s, table=0, n_packets=533, n_bytes=805896, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.146,nw_dst=10.0.1.144,tp_src=58987,tp_dst=5001 actions=set_field:00:00:00:00:01:8e->eth_dst,output:18
 cookie=0x0, duration=60.073s, table=0, n_packets=533, n_bytes=805896, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.147,nw_dst=10.0.1.145,tp_src=46304,tp_dst=5001 actions=set_field:00:00:00:00:01:8f->eth_dst,output:18
 cookie=0x0, duration=60.073s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.110,nw_dst=10.0.1.108,tp_src=39451,tp_dst=5001 actions=set_field:00:00:00:00:01:6a->eth_dst,output:17
 cookie=0x0, duration=60.056s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.111,nw_dst=10.0.1.109,tp_src=55653,tp_dst=5001 actions=set_field:00:00:00:00:01:6b->eth_dst,output:17
 cookie=0x0, duration=60.056s, table=0, n_packets=533, n_bytes=805896, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.148,nw_dst=10.0.1.146,tp_src=52489,tp_dst=5001 actions=set_field:00:00:00:00:01:90->eth_dst,output:18
 cookie=0x0, duration=60.039s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.112,nw_dst=10.0.1.110,tp_src=56736,tp_dst=5001 actions=set_field:00:00:00:00:01:6c->eth_dst,output:17
 cookie=0x0, duration=60.038s, table=0, n_packets=533, n_bytes=805896, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.149,nw_dst=10.0.1.147,tp_src=58459,tp_dst=5001 actions=set_field:00:00:00:00:01:91->eth_dst,output:18
 cookie=0x0, duration=60.019s, table=0, n_packets=533, n_bytes=805896, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.150,nw_dst=10.0.1.148,tp_src=59713,tp_dst=5001 actions=set_field:00:00:00:00:01:92->eth_dst,output:18
 cookie=0x0, duration=60.003s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.113,nw_dst=10.0.1.111,tp_src=48173,tp_dst=5001 actions=set_field:00:00:00:00:01:6d->eth_dst,output:17
 cookie=0x0, duration=60.003s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.114,nw_dst=10.0.1.112,tp_src=38249,tp_dst=5001 actions=set_field:00:00:00:00:01:6e->eth_dst,output:17
 cookie=0x0, duration=59.984s, table=0, n_packets=533, n_bytes=805896, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.151,nw_dst=10.0.1.149,tp_src=37459,tp_dst=5001 actions=set_field:00:00:00:00:01:93->eth_dst,output:18
 cookie=0x0, duration=59.984s, table=0, n_packets=533, n_bytes=805896, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.152,nw_dst=10.0.1.150,tp_src=33942,tp_dst=5001 actions=set_field:00:00:00:00:01:94->eth_dst,output:18
 cookie=0x0, duration=59.964s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.115,nw_dst=10.0.1.113,tp_src=53143,tp_dst=5001 actions=set_field:00:00:00:00:01:6f->eth_dst,output:17
 cookie=0x0, duration=59.950s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.121,nw_dst=10.0.1.119,tp_src=46348,tp_dst=5001 actions=set_field:00:00:00:00:01:75->eth_dst,output:17
 cookie=0x0, duration=59.934s, table=0, n_packets=532, n_bytes=804384, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.153,nw_dst=10.0.1.151,tp_src=54116,tp_dst=5001 actions=set_field:00:00:00:00:01:95->eth_dst,output:18
